1×		—

2×1		Клён остролистный
2×2		?
2×3		Роза сизая
2×4		Cосна кедровая европейская
2×5		Липа обыкновенная, или европейская (?)
2×6		Боярышник (ф. - ?)
2×7		Рябинник рябинолистный
2×8		Клён остролистный
2×9		?
2×10	Сосна крымская
2×11	Рябина смешанная
2×12	?
2×13	?
2×14	Тополь дрожащий, или осина
2×15	Сирень венгерская
2×16	Липа обыкновенная, или европейская (?)
2×17	Ива белая, или серебристая

3×1		?
3×2		?
3×3		Тополь бальзамический
3×4		?
3×5		?
3×6		?
3×7		Ясень обыкновенный
3×8		Липа маньчжурская
3×9		Лещина обыкновенная
3×10	Роза парковая иглистая (шиповник)
3×11	?
3×12	Тополь дрожащий, или осина
3×13	?
3×14	Лещина обыкновенная
3×15	Дёрен белый
3×16	?

4×1		Тополь дрожащий, или осина
4×2		Бересклет европейский
4×3		?
4×4		?
4×5		Боярышник крупнопыльниковый
4×6		Дуб черешчатый


5×1		?
5×2		Тополь бальзамический
5×3		Клён остролистный
5×4		Аморфа кустарниковая (посадки уничтожены)
5×5		Сосна обыкновенная
5×6		?
5×7		Робиния лжеакация, или акация белая
5×8		Вяз обыкновенный
5×9		?
5×10	Рябина смешанная (в основном посадки 2018 г.)
5×11	Бархат амурский
5×12	?
5×13	?
5×14	Дуб черешчатый
5×15	Дуб черешчатый
5×16	?
5×17	?
5×18	Ель колючая сизая ф. ‘Глаука’, барбарис обыкновенный
5×19	Клён Гиннала, или приречный
5×20	Липа обыкновенная, или европейская (?)

6×1		Груша обыкновенная
6×2		?
6×3		Сосна кедровая европейская (?)
6×4		Груша обыкновенная
6×5		Орех маньчжурский
6×6		Черёмуха Маака
6×7		Дуб черешчатый ф. ‘пирамидальная’
6×8		Псевдотсуга Менцизи
6×9		Черёмуха Маака, орех маньчжурский

7×1		Лиственница сибирская
7×2		Сосна кедровая европейская (?) 
7×3		Лиственница сибирская

8×1		?
8×2		Яблоня ягодная, или сибирская
8×3		Тополь белый
8×4		Дуб черешчатый
8×5		Сосна обыкновенная

9×1		Ель обыкновенная
9×2		Ель колючая сизая ф. ‘Глаука’

10×1	Клён остролистный
10×2	Робиния лжеакация, или акация белая
10×3	?
10×4	?
10×5	Клён остролистный

11×1	Конский каштан обыкновенный, пузыреплодник калинолистный
11×2	Клён остролистный, спирея японская
11×3	?
11×4	Клён остролистный
11×5	Клён остролистный
11×6	?
11×7	Орех маньчжурский
11×8*	Яблоня лесная, спирея японская

12×1	?
12×2	?
12×3	Рябина смешанная
12×4	?
12×5	Клён остролистный
12×6	Липа обыкновенная, или европейская (?)

13×1	Липа обыкновенная, или европейская (?)
13×2	Черёмуха Маака
13×3	?
13×4	?
13×5	?
13×6	Бархат амурский

14×1	Сосна обыкновенная
14×2	?
14×3	?
14×4	Липа мелколистная (?)
14×5	?
14×6	?
14×7	Крушина ломкая
14×8	Пузыреплодник калинолистный
14×9	Конский каштан обыкновенный
14×10	?
14×11	?

15×1	Лиственница западная
15×2	?
15×3	?
15×4	Чубушник обыкновенный
15×5	Клён красный (?)

16×1	?
16×2	?
16×3	?
16×4	?
16×5	Липа крупнолистная
16×6	Крушина слабительная
16×7*	Пихта корейская (угол бол. липовой и сев.- вост., пос. 2018 г.)

17×1	?
17×2	?
17×3	Клён зеленокорый
17×4	?
17×5	?
17×6	?
17×7	?
17×8	?
17×9	?
17×10	Черёмуха обыкновенная
17×11	?
17×12	?
17×13	?

18×1	?
18×2	Клён остролистный
18×3	?
18×4	?
18×5	Липа обыкновенная, или европейская (?)
18×6	?
18×7	?
18×8	?
18×9	Лиственница сибирская

19×1	?
19×2	Тополь бальзамический
19×3	?
19×4	?
19×5	Сосна Банкса
19×6	Спирея белая
19×7	Дёрен белый
19×8	?
19×9	?
19×10	Груша обыкновенная
19×11	Липа крупнолистная
19×12	Ирга колосистая
19×13	Тополь белый
19×14	?
19×15	Конский каштан обыкновенный
19×16	?
19×17	Липа обыкновенная, или европейская (?)
19×18	Спирея белая

20×1	Орех маньчжурский
20×2	Робиния лжеакация, или акация белая
20×3	Берёза бородавчатая, или повислая
20×4	Липа крупнолистная
20×5	Орех маньчжурский
20×6	?
20×7	?
20×8	Боярышник Максимовича
20×9	Клён остролистный
20×10	Спирея японская
20×11	?
20×12	Дуб черешчатый
20×13	Спирея трёхлопастная
20×14	?
20×15	?
20×16	Клён остролистный
20×17	Орех маньчжурский
20×18	?
20×19	Бузина кистевидная, или красная

21×1	?
21×2	Липа обыкновенная, или европейская (?)
21×3	Спирея японская
21×4	Ель красная
21×5	Черёмуха Маака
21×6	?
21×7	Сосна Веймутова

22×1	Дёрен белый
22×2	?
22×3	Клён остролистный
22×4	Лиственница западная
